Company Name,Title,Location,qualification,Job Type
RSM PHARMA PVT LTD,System work - Rajarajeshwarinagar,"Bengaluru, Karnataka",,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
LANTRO TECHNOLOGIES INDIA PVT LTD,Project Coordinator,"Bengaluru, Karnataka","Project coordination,Communication skills",NA
Leventm Technologies,Digital Marketing,"Bengaluru, Karnataka",,NA
EY,EY Subscriptions Support Associate,"Bengaluru, Karnataka","Software troubleshooting,Analysis skills,Communication skills,ITIL Certification,ServiceNow,Bachelor's degree",NA
Manipal Health Enterprises,Associate - Anaesthesiology,"Bengaluru, Karnataka","Computer networking,Bachelor's degree",NA
Aura Solution,Receptionist - Whitefield,"Bengaluru, Karnataka",Microsoft Office,NA
bellfast management private limited,Machine Maintenance,"Bengaluru, Karnataka","Analysis skills,Programmable logic controllers,CNC,Computer skills,Mechanical knowledge,12th Pass",NA
Conneqt Business Solutions,Invoice Process- Accounts Payable,"Bengaluru, Karnataka","Microsoft Excel,SAP,Communication skills,Account reconciliation,Bachelor's degree",NA
Senses Pharmaceutical Private Limited,Medical Representative,"Bengaluru, Karnataka",Bachelor's degree,NA
Pentoz technology,Digital Marketing Intern,"Bengaluru, Karnataka",Marketing,NA
HSK RAMS PRIVATE LIMITED,Hospitality All Rounder,"Bengaluru, Karnataka","Hotel management,Hotel experience",NA
looper development Services privet limited,Personal Banker,"Bengaluru, Karnataka","Direct sales,Insurance sales,Sales,Banking",NA
Biorad Medisys Pvt Ltd,Account Executive,"Bengaluru, Karnataka","Tax experience,Tally,Bank reconciliation,Bachelor's degree",NA
EuroSchool - Electronic City,Admission Counselor,"Bengaluru, Karnataka","Teaching experience,NIS",NA
Capgemini,"Backup Exec Administrator | 3 To 6 YEARS | BENGALURU, PUNE & MUMBAI","Bengaluru, Karnataka","Bash,Analysis skills,VMWare,SAN,MySQL",NA
"Kennametal, Inc.",Supervisor Quality-India,"Bengaluru, Karnataka","ISO 9001,Analysis skills,Manufacturing,Microsoft Excel,SAP,Bachelor's degree",NA
Capgemini,POWERAPPS | 6 TO 12 YEARS | BENGALURU,"Bengaluru, Karnataka","Web services,Power BI,REST,XML,JSON",NA
BLUE DOMINO TECHNOLOGIES LLP,Content Writer (English) -Work From Office,"Bengaluru, Karnataka","Communication skills,SEO,Keyword research,Google Analytics,Bachelor's degree",NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
CobbleStone Realty,FEMALE OFFICE ASSISTANT,"Bengaluru, Karnataka","Microsoft Office,Bachelor's degree",NA
EY,TC_CS_DPP_Data Privacy_Staff,"Bengaluru, Karnataka","Project management,CEH,Communication skills,ISO 27001,Controlling experience,Bachelor's degree,Master's degree,M.C.A.,M.B.A.",NA
AS ROUTE POINT,Delivery Executive,"Bengaluru, Karnataka",,NA
RS Academy,Marketing Executive,"Bengaluru, Karnataka","Project management,B2B Marketing,Communication skills,Marketing,Microsoft Office,Bachelor's degree",NA
Direct Dialogue Initiatives India,Face to Face Fundraiser In team,"Mahatma Gandhi Rd, Karnataka",,NA
Mk hr services,Bending machine operation,"Bengaluru, Karnataka",Machining,NA
CLINTS Solutions,Purchase Executive,"Bengaluru, Karnataka",Bachelor's degree,NA
CryptographNXT,Digital Marketing Executive,"Bengaluru, Karnataka","Project management,Web development,SEO,Digital marketing,Data analytics,Bachelor's degree",NA
MarvyLogic,System Administrator,"Bengaluru, Karnataka","Jenkins,CentOS,Diploma",NA
Her Second Innings,Sales and Admin Co-ordinator - Women Only,"Bengaluru, Karnataka",Microsoft Office,NA
Spectrum Physio Private Limited,Front Desk Receptionist,"Bengaluru, Karnataka","Communication skills,12th Pass",NA
Saventure infra tech,Telecaller,"Bengaluru, Karnataka","Technical support,Sales,Diploma",NA
Quess Corp Limited,DG Supervisor,"Bengaluru, Karnataka",,NA
Teleperformance,Customer Care Executive,"Bengaluru, Karnataka",12th Pass,NA
Goldman Sachs,Global Banking & Markets Operations - Client Onboarding & Configuration - Associate - Bengaluru,"Bengaluru, Karnataka","Analysis skills,Communication skills,Microsoft Office,Organizational skills,Bachelor's degree",NA
GNB & Associates,Company Secretary,"Bengaluru, Karnataka","Lead generation,Marketing",NA
CIO Coverage (A Unit of Flyntt Media),Email Marketing Executive,"Bengaluru, Karnataka","HTML5,Bachelor's degree",NA
Tesco,Associate-Marketing Operations,"Bengaluru, Karnataka","Quality assurance,Continuous integration,Microsoft Office,Microsoft Word",NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
INAV APPARELS PRIVATE LIMITED,Garment marketing executive,"Bengaluru, Karnataka",Pricing,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
ANZ Banking Group,Financial Crime Spec,"Bengaluru, Karnataka","Analysis skills,Communication skills,Microsoft Excel,Time management,Microsoft Office",NA
Capgemini,Unix,"Bengaluru, Karnataka",UNIX,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
UHP Technologies Pvt Ltd,Industrial Resource ( Bengaluru),"Bengaluru, Karnataka","Microsoft Excel,Microsoft Powerpoint,Communication skills,Time management,Microsoft Office,Bachelor's degree",NA
BBS Corp,AR Caller,"Bengaluru, Karnataka","Communication skills,Organizational skills,12th Pass",NA
CLINTS Solutions,Virtual interview _Customer Support,"Bengaluru, Karnataka","Customer support,Customer service,Computer skills,12th Pass",NA
vijiksha technologies pvt ltd,LogicMonitor Administrator,"Bengaluru, Karnataka","Azure,SQL,PostgreSQL,VMWare,AWS",NA
Kalvium,Copy writer,"Bengaluru, Karnataka",Copywriting,NA
Milestone Aluminium Company Pvt Ltd,Female Marketing Executive,"Peenya, Bengaluru, Karnataka","Social media management,Direct sales,Google AdWords,Social media marketing,Digital marketing,Bachelor's degree",NA
S V Groups,Telecaller,"Bengaluru, Karnataka",Bachelor's degree,NA
Einfolge Technologies Pvt.Ltd.,Patent Writer/Patent Drafter,"Bengaluru, Karnataka","Drafting,Bachelor's degree,Master's degree",NA
ST.JOHNS SCHOOL,Male Caretaker,"Bengaluru, Karnataka",,NA
Safran HAL Aircraft Engines Pvt Ltd,NDT Technician,"Bengaluru, Karnataka",Diploma,NA
Svvayam,Presales Executive,"Bengaluru, Karnataka","Pre-sales,CRM software,Communication skills,Bachelor's degree,12th Pass",NA
BCD Travel Corporate,Travel Agent,"Bengaluru, Karnataka",Communication skills,NA
TOURS I GO HOLIDAYS,Jr Travel Sales Expert,"Bengaluru, Karnataka","Go,Communication skills,Sales",NA
Glitz Info Solutions,Field Sales Executive,"Bengaluru, Karnataka",Communication skills,NA
Blufig Digital Private Limited,Graphic Designer,"Bengaluru, Karnataka","Graphic design,Adobe Premiere,Adobe Illustrator,Communication skills,Typography,Bachelor's degree,12th Pass",NA
Arteria Technologies,SAP UI5 Trainee,"Bengaluru, Karnataka","REST,CSS,SAP,Node.js,jQuery",NA
Natus women and children hospital,Marketing Executive,"Bengaluru, Karnataka","Pediatrics,Lead generation,Marketing,Bachelor's degree",NA
Tesco,Associate-Property Delivery Planning,"Bengaluru, Karnataka","Analysis skills,Communication skills,Continuous integration,Microsoft Powerpoint,Microsoft Office",NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Truce titanium Taurus,Call Center Executive,"Bengaluru, Karnataka","Technical support,Sales,12th Pass",NA
HeyCoach,Web Marketing Executive,"Bengaluru, Karnataka","Analysis skills,SEO,Conversion optimization,Google Analytics,Data analytics,Bachelor's degree,Master's degree",NA
State Street,Apprentice,"Bengaluru, Karnataka","Analysis skills,Microsoft Excel,Microsoft Office,Asset management,Financial services,Bachelor's degree",NA
HRV CertPro Private Limited,Content Writer (Fresher),"Bengaluru, Karnataka","SEO,HTML5,Time management,Proofreading,Bachelor's degree",NA
Valueleaf Services,Customer Support Agent,"Bengaluru, Karnataka",Customer support,NA
Sri Siddha Sanmarga,Telesales Executive,"Kormangala, Karnataka","Sales,CRM software,Communication skills,Marketing,Computer literacy,12th Pass",NA
Precize,Investor Relations Associate,"Bengaluru, Karnataka","Communication skills,Microsoft Excel",NA
Nila Mantek,Field Officer,"Bengaluru, Karnataka",,NA
Unique HRBP Solutions,Guest Relation Executive,"Bengaluru, Karnataka","Microsoft Outlook,Communication skills,Customer service,Microsoft Powerpoint,Administrative experience",NA
The Wooden Street Furnitures,Executive - Customer Support,"HSR Layout, Bengaluru, Karnataka","CRM software,Customer support,Communication skills",NA
GoodFoodNurture,Promotions Officer,"Bengaluru, Karnataka",Microsoft Excel,NA
A.i.R Institute of Realization,Marketing Executive,"Bengaluru, Karnataka","Strategic planning,Market research,Communication skills,Marketing,Statistics,B.Sc,Bachelor's degree",NA
Applied Materials,Transactional Buyer,"Bengaluru, Karnataka","Microsoft Excel,SAP ERP,Bachelor's degree",NA
Ambitio Technologies Private Limited,Overseas Education Counselor,"Bengaluru, Karnataka","Communication skills,Organizational skills",NA
Tesco,Applied Data Scientist,"Bengaluru, Karnataka","Wiki systems,Communication skills,Continuous integration,SQL,Hadoop",NA
BLR BREWING CO.,CDP / Commi I- Indian /Tandoor/oriental/ continental/Bakery,"Bengaluru, Karnataka",,NA
Mintopps Pvt Ltd,Information Technology Systems Administrator,"Bengaluru, Karnataka",Firewall,NA
Dairy Craft India Pvt Ltd,Field Sales Executive,"Bengaluru, Karnataka","Communication skills,Computer skills,Time management,Microsoft Office",NA
MOTHER EARTH FARMLANDS,Chief Operating Officer (COO),"Bengaluru, Karnataka",,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Futures & Careers,Sales Coordinator - Female only,"Bengaluru, Karnataka",,NA
MOMSOON Academy Pvt Ltd,Course Co-ordinator,"Bengaluru, Karnataka",Bachelor's degree,NA
Criaa Markitech Solutions,Social Media Executive,"Bengaluru, Karnataka","Social media management,Content creation,Social media marketing,Digital marketing,Communication skills,Bachelor's degree",NA
Nityo Infotech,Aidc-retail/ecomm,"Bengaluru, Karnataka",Warehouse management system,NA
Visit Health Pvt Ltd,Hiring for Interns|Paid Internship|Freshers|Calling,"Bengaluru, Karnataka",,NA
York Scientific Industries Pvt. Ltd.,Marketing Executive,"Bengaluru, Karnataka",Marketing,NA
Healthcare domain company,System Admin / Server Admin,"Bengaluru, Karnataka","Computer hardware,Communication skills,VMWare,SAP,Databases",NA
Oracura Solutions Private Limited,Medical Representative,"Bengaluru, Karnataka","Communication skills,Marketing,Negotiation,Sales",NA
Aizov,Real Estate Business Partner,"Bengaluru, Karnataka","Communication skills,Negotiation,Business development,Bachelor's degree",NA
YS BRANDS PRIVATE LIMITED,Accounts Assistant,"Bengaluru, Karnataka","Accounting,Communication skills,Microsoft Excel,Computer skills,Tally",NA
ELCAMINO SOFTWARE PVT LTD,Customer Service Executive,"Bengaluru, Karnataka",,NA
FyerX,Digital Marketing Executive,"Bengaluru, Karnataka","SEM,Communication skills,Marketing,SEO,Facebook Advertising",NA
ubteck,Quality Inspector FOR CUTTING TOOL,"Bengaluru, Karnataka",Bachelor's degree,NA
Headout,Content Editor,"Bengaluru, Karnataka","Data analytics,Communication skills,Content creation",NA
Apsara Silks,Junior Merchandiser and Q C,"Bengaluru, Karnataka",Diploma,NA
Genpact,Process Associate -Claims,"Bengaluru, Karnataka","Microsoft Access,Customer service,Microsoft Excel,Bachelor's degree,B.B.A.",NA
Talent Basket,RSM - Sales - FMCG,"Bengaluru, Karnataka","Communication skills,Team management,Territory management,Sales,Business development",NA
Logic Planet IT Service Pvt Ltd,PTC Thingworx,"Bengaluru, Karnataka","REST,Communication skills,Business requirements,M.C.A.,Bachelor's degree,Master's degree",NA
"""Jobs In 360"" - Vistas Learning",Collection Executive,"Bengaluru, Karnataka",12th Pass,NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Cadabams Group,Tele Caller Executive,"Bengaluru, Karnataka","Technical support,Communication skills,Customer service,Sales,Organizational skills,Diploma",NA
Born Group,Sales Associate,"Bengaluru, Karnataka","Sales,Microsoft Powerpoint,Communication skills,Marketing,Field sales,Bachelor's degree,Diploma",NA
Ovum Hospital - Banashankari,Front Office Executive,"Bengaluru, Karnataka","Hospital experience,Bachelor's degree",NA
AMBC,Server Admin,"Electronic City, Bengaluru, Karnataka","VMWare,SAP,Communication skills,Databases,LAN,M.C.A.,Bachelor's degree,Master's degree",NA
Agilon Health,Medical Coder,"Bengaluru, Karnataka",Communication skills,NA
Eagles Academy for Personality Development Pvt Ltd,Sales and Marketing Executive,"Bengaluru, Karnataka","Teaching experience,Sales,Pricing,Presentation skills,Lead generation,Bachelor's degree",NA
Finvisage,Sales Intern,"Bengaluru, Karnataka","Business development,Master's degree,M.B.A.",NA
Eridium Digital Pvt Ltd,SEO Executive,"Bengaluru, Karnataka","Search engines,Microsoft Excel,SEO,Microsoft Powerpoint,Digital marketing,Bachelor's degree",NA
Rapidd Technologies,Mobile Applications Architect,"Bengaluru, Karnataka","Dart,Design patterns,Swift,Flutter,Software troubleshooting,Bachelor's degree,Master's degree",NA
Nexa Elevator Pvt Ltd,Lift Technician,"Bengaluru, Karnataka","Administrative experience,Diploma",NA
SERVITE,Sales and Marketing Executive,"Bengaluru, Karnataka","Marketing,12th Pass",NA
ACE INFOTEXIS PVT.LTD .,Supervisor,"Bengaluru, Karnataka",Bachelor's degree,NA
Footprints Childcare Pvt Ltd,Preschool Teacher - Thanisandra,"Bengaluru, Karnataka",,NA
Aiden by best western,Food and Beverage Attendant,"Bengaluru, Karnataka",Diploma,NA
VMEDO,Operation Executive,"Bengaluru, Karnataka","Operations management,Quality assurance,Leadership,Communication skills,Automotive repair,Bachelor's degree",NA
Unisys,SSR1 - Level 2,"Bengaluru, Karnataka","Desktop administration,Analysis skills,ITIL Certification,Windows,Computer networking",NA
Halliburton,X312-ESG-Payroll Representative,"Bengaluru, Karnataka","Bachelor's degree,12th Pass",NA
Ramya Reprographic Pvt. Ltd,Marketing Coordinator,"Bengaluru, Karnataka","Customer support,Marketing,Diploma",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
kalyani motors pvt ltd,Customer Care Executive,"Bengaluru, Karnataka",12th Pass,NA
Ninjacart,Executive - Source Logistics,"Bengaluru, Karnataka","Logistics,Communication skills,Microsoft Excel,Negotiation,Organizational skills",NA
Thalassa spa,Utility Workers,"Bengaluru, Karnataka",Communication skills,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Wipro Limited,Application Architect,"Bengaluru, Karnataka",,NA
Skit.ai,Account Executive,"Bengaluru, Karnataka",,NA
Sireesh Auto,SERVICE ADVISOR,"Bengaluru, Karnataka","Bachelor's degree,Diploma",NA
Vilcart Solutions Pvt Ltd,MIS Executive,"Bengaluru, Karnataka",Apache Pig,NA
EY,Digital Content - Page Building - Associate,"Bengaluru, Karnataka","Adobe Photoshop,Project coordination,Adobe Experience Manager,Adobe Premiere,HTML5,Bachelor's degree,Master's degree",NA
Synopsys,Security Services Associate,"Bengaluru, Karnataka","Perl,SQL,.NET,PHP,COBOL,Bachelor's degree,Master's degree",NA
A-Z Virtual,Telecaller,"Bengaluru, Karnataka","Communication skills,Sales,12th Pass",NA
Ramaiah Institute of Technology,Junior Research Fellow (JRF),"Bengaluru, Karnataka","Deep learning,Data collection,AI,Bachelor's degree,Master's degree",NA
VEDANTH TRADE IMPEX,Office Administrator,"Gottigere, Karnataka",Microsoft Office,NA
Anthropos Consulting LLP,Purchase Executive,"Bengaluru, Karnataka","Procurement,ERP systems,Sourcing,Bachelor's degree",NA
SAP,Quality Associate,"Bengaluru, Karnataka","Analysis skills,SAP S/4HANA,SAP,ERP systems,Selenium,Bachelor's degree,Master's degree",NA
The Jain Group Of Institutions,Creative Content Writers,"Bengaluru, Karnataka","Writing skills,Communication skills,Marketing,Public relations,Content marketing,Bachelor's degree",NA
Microsoft,Principle EM,"Bengaluru, Karnataka","Test-driven development,OOP,Analysis skills,Communication skills,Design patterns",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Asatkalpa,Education Counselor,"Bengaluru, Karnataka",Communication skills,NA
Accident Relief care,Sales Executive,"Bengaluru, Karnataka","Sales,Business development,Lead generation,Field sales,12th Pass",NA
Tyremarket.com,Digital Media Sales Executive,"Bengaluru, Karnataka","Direct sales,Sales,Digital marketing,Bachelor's degree",NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Namaste Credit,Junior Underwriter,"Bengaluru, Karnataka",Bachelor's degree,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Creanovation Technologies Private Limited,Admission Counsellor,"Bengaluru, Karnataka","Direct sales,Communication skills,Sales,Microsoft Office",NA
Rakesh Trading,Telesales Agent,"Bengaluru, Karnataka","Communication skills,Sales,12th Pass",NA
Creencia,Customer Support Executive (CSE),"Bengaluru, Karnataka",Bachelor's degree,NA
Tricog Health India Private Limited,MD - General Medicine,"Bengaluru, Karnataka",Administrative experience,NA
4Bell Technology,SAP SAC,"Bengaluru, Karnataka","SQL,Microsoft Excel,SAP,Budgeting,SAP HANA",NA
Wear Your Opinion,Retail Sales Assistant,"Bengaluru, Karnataka","Retail sales,Sales",NA
Smiles.ai,Receptionist,"BTM Layout, Bengaluru, Karnataka","Communication skills,Computer skills,Microsoft Office,12th Pass",NA
Fashion Design Portfolio,Costume Designer / Menswear Designer,"Bengaluru, Karnataka","Adobe Photoshop,Adobe Illustrator",NA
Infosys,"Unix, AIX","Bengaluru, Karnataka","Splunk,JBoss,VMWare,SAP,DB2",NA
Right Track,Customer Care Executive,"Bengaluru, Karnataka","Customer support,Communication skills,Customer service,Bachelor's degree",NA
ELITE IIT,Electronics faculty,"Bengaluru, Karnataka","Teaching experience,Bachelor's degree,Diploma,Master's degree",NA
Surpassing HR Solutions Pvt Ltd,four wheeler service advisor,"Bengaluru, Karnataka",,NA
Nityo Infotech,Olap- Harman,"Bengaluru, Karnataka","Data modeling,SQL,Data warehouse",NA
Bloom Hotel Group,Housekeeping Associate,"Bengaluru, Karnataka",,NA
Dermaville Skin Clinic,Front Office Receptionist,"Bengaluru, Karnataka",,NA
proptension india pvt ltd,Tellecaller,"Bengaluru, Karnataka","Communication skills,12th Pass",NA
EducoHire.com,Frontoffice executive,"Bengaluru, Karnataka",Bachelor's degree,NA
Eurofins India Genomics,Scientist II,"Bengaluru, Karnataka","Quality assurance,Master's degree,Doctoral degree",NA
buildAhome,Marketing Operation Executive,"Bengaluru, Karnataka","Project management,Sales,CRM software,Lead generation,Communication skills,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Molex,ECAD Librarian,"Bengaluru, Karnataka","Procurement,Microsoft Excel,Microsoft Powerpoint,Bachelor's degree",NA
Intellisoft Financial Technologies Pvt Ltd,Accounts Executive,"Bengaluru, Karnataka","Accounting,Analysis skills,Budgeting,Communication skills,Tax experience,Bachelor's degree",NA
I Learn Future,CAD Designer,"Bengaluru, Karnataka",".NET,Communication skills,JavaScript,Python,Visual Basic,Bachelor's degree",NA
Elevatoz Loyalty Pvt Ltd,Executive - Customer Care,"Bengaluru, Karnataka","Technical support,Customer service,Presentation skills,Customer support,Microsoft Office,Bachelor's degree",NA
Samsung Electronics,IP / SOC Design Verification,"Bengaluru, Karnataka",AI,NA
Sapientury,Digital Marketing Intern - FTE,"Bengaluru, Karnataka","Social media management,Google Ads,Analysis skills,Social media marketing,SEO",NA
KARE PROSTHETICS AND ORTHOTICS,Area Sales Executive,"Bengaluru, Karnataka",Bachelor's degree,NA
Arna Hotel,AFOM/FOM,"Bengaluru, Karnataka",Hotel experience,NA
ABB,Buyer,"Bengaluru, Karnataka","Procurement,SAP,Purchasing,Bachelor's degree",NA
streak jobs,Purchase Executive,"Bengaluru, Karnataka","Quality assurance,Communication skills,Microsoft Word,Bachelor's degree",NA
Beckman Coulter Diagnostics,Group IP Paralegal,"Bengaluru, Karnataka",,NA
AceNet,Power Apps Expertise,"Bengaluru, Karnataka","Power BI,Communication skills",NA
GiftAbled,"Leadership Role Education, Employment & Health","Bengaluru, Karnataka","Care plans,Public health,Budgeting,Administrative experience,Bachelor's degree",NA
Vista Driveline Motors Pvt Ltd,Accounts Assistant,"Bengaluru, Karnataka",,NA
Flatworld Solutions Private Limited,Video Editor,"Bengaluru, Karnataka","Adobe After Effects,Communication skills,Adobe Premiere,Video production,Organizational skills",NA
Taggd,Power Electronics,"Bengaluru, Karnataka","Analysis skills,Embedded software,Microsoft Excel,Microsoft Powerpoint,MATLAB,Doctoral degree,B.S.E.E.,Bachelor's degree,Master's degree",NA
FyerX,Content Strategist,"Bengaluru, Karnataka","Analysis skills,Communication skills,CSS,SEO,HTML5",NA
Robosoft Technologies,Python + Django (3 Months Contract Job) - (1-12 years Experience),"Bengaluru, Karnataka","Software deployment,REST,SQL,Microservices,Redis",NA
FactSuite,Service Delivery Executive,"Bengaluru, Karnataka","Project management,Customer service,Computer skills,Operations management,Customer support,Bachelor's degree",NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
Victaman Services Pvt Ltd,Customer Care Executive,"Bengaluru, Karnataka",12th Pass,NA
Health Basix,"School Counselor, Bangalore","Bengaluru, Karnataka",Master's degree,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Deloitte,Enabling Area - Managed Services - Bangalore,"Bengaluru, Karnataka",,NA
Sanrad Medical System Pvt Ltd,AutoCAD Designer,"Bengaluru, Karnataka","AutoCAD,Diploma",NA
Meenakshisteeltraders,Production Operator,"Bengaluru, Karnataka","Programmable logic controllers,Computer skills",NA
LTIMindtree,SAP BO Administration,"Bengaluru, Karnataka",Oracle,NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Stacus Solution Pvt Ltd,Service Operator,"Bengaluru, Karnataka",12th Pass,NA
H&M Group,Merchandiser - Knitwear,"Bengaluru, Karnataka","Communication skills,Negotiation",NA
Omnify,ASSOCIATE- SALES [US SHIFT],"Bengaluru, Karnataka","Communication skills,Sales,Time management,Presentation skills",NA
Pinkerton,Data Scientist,"Bengaluru, Karnataka","Analysis skills,Power BI,Customer service,SQL,Computer skills,Bachelor's degree",NA
Ecompat technology pvt ltd,Telecallers,"Bengaluru, Karnataka",,NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
Emmanuel Sugnana Jyothi high school,Nursery Teacher,"Bengaluru, Karnataka",12th Pass,NA
Skillventory,Supply chain with FMCG,"Bengaluru, Karnataka","Accounting,Leadership,Financial accounting,Supply chain,Bachelor's degree",NA
nexus consulting solutions,Sales Representative,"Bengaluru, Karnataka","Sales,12th Pass",NA
SLV Housing Development Corporation,Presales Executive,"Bengaluru, Karnataka","Communication skills,Microsoft Office,Bachelor's degree",NA
Cendrol Construction Contracts Private Limited - Build. Track. Relax.,UI/UX Designer - Intern,"Bengaluru, Karnataka","UI,Communication skills,APIs,UX,UI design,Bachelor's degree",NA
Domestic Bank,Urgent Opening Domestic Bank,"Bengaluru, Karnataka","Customer service,Sales,Banking,Communication skills",NA
Esskay Compuservices Pvt Ltd.,Sales Coordinator,"Bengaluru, Karnataka","Microsoft Excel,Sales,Microsoft Powerpoint,Communication skills,Time management,Bachelor's degree,Diploma",NA
Spree Hotels,Housekeeping Room Attendant,"Bengaluru, Karnataka",,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
VILVAH STORE PRIVATE LIMITED,Retail Sales Assistant,"Bengaluru, Karnataka","Presentation skills,Retail sales,Communication skills,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
Iqra international school,teaching job,"Bengaluru, Karnataka","Teaching experience,Lesson planning,Bachelor's degree",NA
INCEPBIO PVT LTD,Sales Cooordinator (Pharmaceutical Industry),"Bengaluru, Karnataka","Analysis skills,Sales,Microsoft Powerpoint,CRM software,Communication skills,Bachelor's degree",NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
TARGET,Site Merchandiser,"Bengaluru, Karnataka","Analysis skills,Analytics,E-Commerce,Merchandising,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Cadcon Education Pvt ltd,Digital Marketing Executive,"Bengaluru, Karnataka","Analysis skills,Adobe After Effects,Adobe Illustrator,Digital marketing,Adobe Photoshop,Bachelor's degree,Master's degree,M.B.A.",NA
WNS Global Services,Chat Support Executive,"Mumbai, Maharashtra",12th Pass,Full-time
Bloomberg,Economy/Government Editor - Mumbai,"Mumbai, Maharashtra",".NET,Bloomberg,Journalism",NA
A J MOHAN & ASSOCIATES,Concurrent Auditor - Ex. Banker,"Mumbai, Maharashtra","Banking,Bachelor's degree",Full-time
Disney,Counsel,"Mumbai, Maharashtra",Banking,NA
Destm Technologies,System Architect,"Mohali, Punjab","React,Design patterns,System architecture,Adobe Experience Manager,Node.js,Bachelor's degree",Full-time
Vir's Edu Experts-IELTS/STUDY VISA(KURALI),IELTS Trainer,"Morinda, Punjab","Teaching experience,Bachelor's degree",Full-time
"Trans-Alliance, LLC",Sales Associate,"Mohali, Punjab",Sales,Full-time
TRIO INDIA,Packing Supervisor,"Dera Bassi, Punjab",,Full-time
Cyber Defence Intelligence Consulting,Education Counsellor,"Mohali, Punjab","Bachelor's degree,Master's degree,M.C.A.,M.B.A.",Full-time
Brampton Immigration Consultancy,Immigration Counsellor,"Chandigarh, Chandigarh",Bachelor's degree,Full-time
Gifts-On-click,Sales Executive,"Mohali, Punjab",12th Pass,Full-time
