Company Name,Title,Location,qualification,Job Type
Senses Pharmaceutical Private Limited,Executive Assistant,"Bengaluru, Karnataka","Filing,Personal assistant experience,Office management,Time management,Microsoft Office,Bachelor's degree,12th Pass,Diploma",NA
fork media,Sales Receptionist,"Bengaluru, Karnataka","Inside sales,Sales",NA
Blue Matrix Connect Private Limited,voice process,"Bengaluru, Karnataka","Lead generation,Communication skills,Agile",NA
Infosys,VOIP Expert,"Bengaluru, Karnataka",VoIP,NA
Fitelo,Sales Executive,"Bengaluru, Karnataka","Computer skills,Sales,Banking,Communication skills,Bachelor's degree",NA
Infosys,Networking- SONET/DWDM,"Bengaluru, Karnataka","Agile,Test cases,SDLC",NA
Capgemini,NetApp Storage,"Bengaluru, Karnataka",,NA
Games n Gadget,Store Incharge,"Bengaluru, Karnataka",Communication skills,NA
Allied Worldwide Business Solutions,Junior Customer Service Executive,"Bengaluru, Karnataka","Operating systems,Customer service,ServiceNow,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Curefoods India private limited,Pizza Maker,"Bengaluru, Karnataka","Cooking,Chef,12th Pass",NA
SVB Developers,Security Guard,"Bengaluru, Karnataka","Security,12th Pass",NA
EY,Executive Assistant- GDS-Associate,"Bengaluru, Karnataka","Project management,Communication skills",NA
Amadeus,Sales Representative,"Bengaluru, Karnataka",,NA
Quess Corp Limited,Housekeeping Supervisor,"Bengaluru, Karnataka",,NA
BrainVibe,Personal Secretary ( Female ),"Bengaluru, Karnataka","Communication skills,Time management,Bachelor's degree,Master's degree",NA
Hunarstreet Technologies Pvt Ltd,Project Member- Compliance,"Bengaluru, Karnataka","Project management,Communication skills,Compliance management",NA
Futures & Careers,SAFETY OFFICER,"Jigani, Bengaluru, Karnataka","Communication skills,Statistics",NA
Fidelitus Corp Private limited,Receptionist,"Bengaluru, Karnataka",Microsoft Office,NA
SILICON CITY HOSPITAL,Receptionist,"Hoskote, Karnataka",Microsoft Office,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
KBros Aristo Pvt Ltd,Administration Officer,"Bengaluru, Karnataka",,NA
Deutsche Bank,Transaction Surveillance,"Bengaluru, Karnataka","Microsoft Outlook,Project management,Communication skills,Microsoft Excel,Microsoft Office",NA
Itsy Bitsy Pvt Ltd,Customer Care Executive,"Bengaluru, Karnataka",,NA
"Chromachemie Laboratories pvt,Ltd",Admin Officer,"Bengaluru, Karnataka","B.Sc,Bachelor's degree",NA
Saviom Software,Digital Marketing Executive,"Bengaluru, Karnataka","Google Ads,HubSpot,Digital marketing,Google Search Console,Google Analytics,Master's degree",NA
Deutsche Bank,Offboarding QA Position,"Bengaluru, Karnataka","Communication skills,Workday,Microsoft Excel,Microsoft Powerpoint,Microsoft Office,Bachelor's degree",NA
techbsolutions,Digital Marketing,"Bengaluru, Karnataka","Digital marketing,Bachelor's degree",NA
Giva,Non IT Recruiter female,"Bengaluru, Karnataka","Recruiting,Bachelor's degree",NA
Direct Dialogue Initiatives India Private Limited,Greenpeace NGO - Fundraiser,"Bengaluru, Karnataka",,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
CobbleStone Realty,FEMALE TELECALLER,"Bengaluru, Karnataka","Communication skills,Bachelor's degree",NA
Pawan Enterprise,Guest Relation Executive,"Bengaluru, Karnataka","Communication skills,Bachelor's degree",NA
CRUTZ LEELA ENTERPRISES,Content Writing,"Bengaluru, Karnataka",Copywriting,NA
Biorad Medisys Pvt Ltd,Jr. Executive,"Bengaluru, Karnataka","Order fulfillment,Sales administration,Bachelor's degree",NA
NOTHING BEFORE COFFEE,Café staff,"Bengaluru, Karnataka",Shift management,NA
Eridium Digital Pvt Ltd,Performance marketing Executive,"Bengaluru, Karnataka","Google Ads,Microsoft Excel,Digital marketing,Performance marketing,Communication skills",NA
redi India Quality Services Pvt Ltd,Quality Inspector,"Bengaluru, Karnataka",,NA
Kaapi Machines India Pvt Ltd,CRM Executive,"Indiranagar, Bengaluru, Karnataka","Communication skills,Customer service,Sales,Microsoft Office,Bachelor's degree",NA
PDA Trade Media,Sales - Media / Advertising,"Bengaluru, Karnataka",,NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Capgemini,SCCM Admin | 6 to 9 years | Bengaluru&Pune,"Bengaluru, Karnataka","DNS,Software deployment,Windows,IP networking,Software troubleshooting",NA
BigShyft,SDE - II,"Bengaluru, Karnataka","Akka,Design patterns,Erlang,NoSQL,System design,Master's degree",NA
"Prajwal Healthcare Pvt Ltd.,",E-Commerce Executive,"Bengaluru, Karnataka","E-Commerce,Data analysis skills",NA
Confident dental care,Dentist - Marketing associate,"Bengaluru, Karnataka",,NA
Healofy,Content writer,"Bengaluru, Karnataka","Writing skills,Copywriting",NA
Phonepe Private Limited,Loan Executive,"Bengaluru, Karnataka",,NA
Iglulabs Software Pvt Ltd,Project Coordinator,"Bengaluru, Karnataka","Project management,Analysis skills,Communication skills,Project implementation,Management,Bachelor's degree",NA
glintmeup.com,Social Media Marketing Intern,"Bengaluru, Karnataka","Social media management,Graphic design,Content creation,Social media marketing,Digital marketing",NA
Pebble Street Hospitality Pvt Ltd,Guest Service Associate,"Bengaluru, Karnataka",,NA
The Gallerium,Kitchen Designer & Sales Executive,"Bengaluru, Karnataka","Project management,Communication skills,Interior design",NA
HeyCoach,Social Media Marketing Associate,"Bengaluru, Karnataka","Project management,Communication skills,Negotiation,Computer networking,Time management",NA
Molex,Recruiter,"Bengaluru, Karnataka","Recruiting,Relationship management,Computer networking,Interviewing,Data mining,Bachelor's degree",NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Hikal,Junior Officer,"Jigani, Bengaluru, Karnataka",,NA
Recbots,Python SQL Develper,"Bengaluru, Karnataka","React,Relational databases,SQL,Communication skills,Database administration",NA
Accenture,Finance Program & Ops Associate-Record To Report,"Bengaluru, Karnataka","Balance sheet reconciliation,Bachelor's degree",NA
Honeywell,Embedded Engr I,"Bengaluru, Karnataka","C++,Communication skills,C,Embedded software,Bachelor's degree",NA
My Cloud Crew,Social Media/Content Strategist,"Bengaluru, Karnataka","Communication skills,SEO,Keyword research,Content marketing,AI,Bachelor's degree",NA
EY,Level 1 EY Subscriptions Support Associate,"Bengaluru, Karnataka","Software troubleshooting,Analysis skills,Communication skills,ITIL Certification,ServiceNow,Bachelor's degree",NA
Lulu Global Mall,Store Supervisor(Cosmetics,"Bengaluru, Karnataka","Inventory control,Driving,Bachelor's degree",NA
Metal Closures Private Limited,Driver,"Bengaluru, Karnataka","Driving,12th Pass",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
