companyName,title,min_years,max_years,location,work_from_home,femaleCandidate,differentlyAbled,exDefence
Talent-Max Consultant,Engineering Manager - Full Stack Development (10-15 yrs),10,15,MP,0,0,0,0
Right Recruit Services,Frontend Developer - AngularJS (6-10 yrs),6,10,Anywhere in India/Multiple Locations,0,0,0,0
Advansoft,React.js Developer - Redux/Javascript (4-9 yrs),4,9,Hyderabad,0,0,0,0
Prevaj Consultants Pvt Ltd,Magento Developer - PHP (1-4 yrs),1,4,Chennai,0,0,0,0
SWEN Services,Angular Developer - HTML/CSS (1-2 yrs),1,2,Surat,0,0,0,0
Orios Ventures Partners,React.js Developer - Redux/Flux (3-6 yrs),3,6,Gurgaon/Gurugram,0,0,0,0
Freelance,React.js Developer - Single Page Application  (2-10 yrs),2,10,"Chennai,Hyderabad,Kolkata,Noida,Pune,Bhubaneshwar",0,0,0,0
Algoleap Technologies,AlgoLeap - Siebel EIM Developer - Solution Design & Integration (5-15 yrs),5,15,Hyderabad,0,0,0,0
BlackBag HR Solutions,Cloud Engineer - AWS/Azure (3-5 yrs),3,5,Bangalore,0,0,0,0
Rohini IT Consulting LLP,Oracle PL-SQL Developer - Forms & Reports (3-6 yrs),3,6,"Anywhere in India/Multiple Locations,Others",0,0,0,0
Edge in Asia Recruitment Private Limited,Vice President - IT Strategy & Roadmap (14-18 yrs),14,18,Hyderabad,0,0,0,0
Samvid Search,Senior Server Support Engineer - IT Infrastructure Monitoring (3-10 yrs),3,10,Ahmedabad,0,0,0,0
Talent500,Full Stack Developer - Java/Spring Boot (9-12 yrs),9,12,Hyderabad,0,0,0,0
Aliqan Services Private Limited,Technical Lead - Java Technologies (10-12 yrs),10,12,Anywhere in India/Multiple Locations,0,0,0,0
Sabio HR Consultant LLP,Full Stack Developer - Application Architecture (6-10 yrs),6,10,Delhi,0,0,0,0
Talent Giants Consultancy Services LLP,Full Stack Developer - Python/Django/Flask (5-12 yrs),5,12,Pune,0,0,0,0
Coddle Technologies Pvt. Ltd.,Coddle Technologies - MERN Stack Developer - React.js/Node.js (2-4 yrs),2,4,Kerala,0,0,0,0
LEGPRO CONSULTANT PVT LTD,Teach Lead - Java Development (5-7 yrs),5,7,Noida,0,0,0,0
ONDER SHIPTHIS TECHNOLOGIES PRIVATE LIMITED,Frontend Developer - HTML/CSS/Javascript (1-2 yrs),1,2,Bangalore,0,0,0,0
Patch Infotech Private Limited,React.js Developer - Web Apps (4-10 yrs),4,10,Bangalore,0,0,0,0
Opport consultancy,Frontend Developer - HTML/CSS/Javascript (1-2 yrs),1,2,Dehradun,0,0,0,0
Phi Teck Web Solutions,Shopify Developer - Javascript (1-3 yrs),1,3,Punjab,0,0,0,0
Questhiring,Technical Lead - Frontend Programming (3-10 yrs),3,10,"Gurgaon/Gurugram,Delhi NCR",0,0,0,0
Anlage Infotech (I) Pvt. Ltd.,DataCenter Operation Head (18-25 yrs),18,25,Mumbai,0,0,0,0
IQnext,IQnext - Linux C Developer (0-1 yrs),0,1,Bangalore,0,1,0,0
Kirtane and Pandit,Director - Security Testing (8-15 yrs),8,15,"Mumbai,Maharashtra",0,0,0,0
Innovapptive Global Solutions Pvt Ltd,Innovapptive - AWS SaaS Architect - Docker/Kubernetes (10-20 yrs),10,20,Hyderabad,0,0,0,0
S.Arche Services,IBM Content Manager - Filenet (5-10 yrs),5,10,"Mumbai,Anywhere in India/Multiple Locations,Overseas/International",0,0,0,0
U-SET,.Net Developer - ASP/C# (5-8 yrs),5,8,Bangalore,0,1,0,0
Grackle Business Solutions Pvt Ltd,Golang Developer - Application Designing (5-10 yrs),5,10,Bangalore,0,0,0,0
Corpplacements,Software Developer - C#/.Net (1-2 yrs),1,2,Bangalore,0,0,0,0
Softuvo Solutions Pvt Ltd,Softuvo Solutions - Python Django Developer - Web Applications (2-4 yrs),2,4,Punjab,0,0,0,0
Career Makers,Software Development Manager - People Management - Java/C#/C++ (8-15 yrs),8,15,Bangalore,0,0,0,0
Alice Blue Commodities,Alice Blue - PHP Laravel Developer - MVC/MySQL (2-4 yrs),2,4,Bangalore,0,0,0,0
People Resources,Tech Lead - Frontend Engineer - React.js/Javascript (12-22 yrs),12,22,Bangalore,0,0,0,0
Santophy Infotech,Santophy - Senior React.js Developer - Redux/ES6 (3-6 yrs),3,6,MP,0,0,0,0
Nicole the Math Lady,Nicole the Math Lady - Senior Frontend Developer - CSS/HTML/Javascript (8-10 yrs),8,10,Haryana,0,0,0,0
